Food,Quantity,Description,Duration,Date
Eggs,141,Hard Boiled Eggs / 8 Minutes,2013
Donuts Glazed,55,Glazed Donuts / Salvation Army National Donut Day / 8 Minutes,2017
Pork Pulled Sandwiches,45,Pulled Pork Sandwiches / 10 Minutes,2007
Tacos Taco Bell,53,Soft Beef Tacos / Taco Bell / 10 Minutes,2011
Hot Dogs,76,Nathan's Famous Hot Dogs and Buns / 10 Minutes,2021
Chicken Wings,182,Chicken Wings / 30 Minutes, 2012
Hamburgers Krystals,103,Krystal Burgers / 8 Minutes,2007
Meat Pies,23,6oz Meat Pies / Silver Slipper World Meat Pie Eating Championship / 10 Minutes,2016
Corned Beef Sandwiches,20,8-oz Sandwiches / TooJay's World Class Corned Beef Eating Championship / 10 Minutes,2012
Shrimp Wontons,390,Shrimp Wontons / CP Biggest Eater Competition / 8 Minutes,2012
Gyros,30,8-oz Gyros / Niko Niko's Gyros / 10 Minutes,2016
Philly CheeseSteaks,23,6" Sandwiches / Dorney Park / 10 Minutes,2011
Funnel Cake,5.9 lbs,Kings Dominion / 10 Minutes,2009
Fish Tacos,30,6oz Joeys Seafood Restaurants Fish Tacos / 5 Minutes,2014
Tacos Traditional (Three-Inch Tortilla),126,Tacos / Mystic Lake Casino Hotel / 8 Minutes,2017
Mutton Sandwiches,81,4oz Sandwiches / Owensboro International Bar-B-Q Festival / 10 Minutes,2018
Jalapeno Poppers,118,Jalapeno Poppers / University of Arizona / 10 Minutes,2006
Pepperoni Rolls,36,Pepperoni Rolls / WV Three Rivers Festival / 10 Minutes,2017
Twinkies,121,Twinkies / Bally's Casino-Tunica / 6 Minutes,2013
Burritos Long Form,14.5 lbs,Burritos / Illegal Pete's Burritos / 10 Minutes,2016
Pork Pulled Sliders,62,Pulled Pork Sliders / 10 Minutes,2014
San Pedro Fish Market Shrimp,7 lbs,San Pedro Fish Market Shrimp / San Pedro CA / 8 Minutes,2018
Canteen Sandwiches,18.5,Canteen Sandwiches / Ottumwa IA / 10 Minutes,2018
Tamales,102,Tamales / Lewisville Western Days Festival / 12 Minutes,2012
Grilled Cheese Sandwiches,47,Grilled Cheese Sandwiches / 10 Minutes,2006
Gyoza,384,Day-Lee Foods Gyoza / Los Angeles Nisei Week / 10 Minutes,2014
Pastrami,25,7oz Half Katz's Delicatessen Pastrami Sandwiches / 10 Minutes,2013
Gumbo,15,16oz Bowls (1.875 Gallons) / World Record Gumbo / 8 Minutes,2015
Ice-Cream Sandwiches,25.5,Baked Bear Ice-Cream Sandwiches / San Diego CA / 6 Minutes,2018
Shrimp Cocktail,18 lbs 9.6 oz,St. Elmo Shrimp Cocktail / Indianapolis IN / 8 Minutes,2018
Hostess Donettes,257,Hostess Donettes / Philadelphia PA / 6 Minutes,2018
Salt Potatoes,13 lbs,Salt Potatoes / Wild Carp Week / 10 Minutes,2011
Turkey (Whole),9.35 lbs,Whole Turkey / Foxwoods Turkey Eating Championship / 10 Minutes,2014
Pierogi,165,Pierogi / Horseshoe Casino / 8 Minutes,2014
White Hut Cheeseburgs,52,Cheeseburgs / The Big E Fair / 10 Minutes,2017
Pizza Hut P'Zones,7.5,Pizza Hut P'Zones / Pizza Hut Chow-Lenge @ Spike Guys Choice Awards / 10 Minutes,2011
Kolache Factory Kolaches,56,Sausage and Cheese Kolaches / Kolache Factory in Houston TX / 8 Minutes,2007
Brain Tacos,54,Brain Tacos / Zombie Pub Crawl / 8 Minutes,2013
Croquetas,185,Catalina Croquetas / Miami FL / 8 Minutes,2019
Apple Pie,4.375,Three-Pound Apple Pies / Mapleside Farms / 8 Minutes,2013
Pepperoni Rolls,43,Pepperoni Rolls / WV Three Rivers Festival / 10 Minutes,2019
Canteen Sandwiches,28.5,Canteen Sandwiches / Ottumwa IA / 10 Minutes,2019
2-Foot Pizza Slice,6.5,2-Foot Pizza Slices / Fat Boy's Pizza / 10 Minutes,2019
Carnitas Tacos,82,Carnitas Tacos / Pacific Park on the Santa Monica Pier / 8 Minutes,2019
Beef Brisket BBQ Sandwiches,27,Beef Brisket BBQ Sandwiches / Circuit of the Americas / 10 Minutes,2019
Waffles Eggo-Style,81,Waffles / San Jose Barracuda / 8 Minutes,2019
